"Date","Price","Open","High","Low","Vol.","Change %"
"06/06/2018","386.88","386.95","387.93","384.60","247.92M","0.00%"
"06/05/2018","386.89","387.86","390.02","386.89","244.52M","-0.31%"
"06/04/2018","388.11","387.95","389.47","387.66","210.79M","0.31%"
"06/01/2018","386.91","383.35","388.11","383.35","263.66M","1.01%"
"05/31/2018","383.06","385.41","386.70","382.14","442.08M","-0.63%"
"05/30/2018","385.49","383.98","385.49","383.21","296.91M","0.27%"
"05/29/2018","384.47","388.82","388.82","382.84","384.52M","-1.37%"
"05/28/2018","389.82","390.49","392.24","389.19","126.64M","-0.32%"
"05/25/2018","391.08","391.20","392.91","389.72","266.44M","0.14%"
"05/24/2018","390.54","392.66","394.11","389.51","235.07M","-0.52%"
"05/23/2018","392.58","396.44","396.44","391.42","240.13M","-1.10%"
"05/22/2018","396.94","396.02","397.86","395.66","228.13M","0.27%"
"05/21/2018","395.87","394.83","396.41","394.83","189.22M","0.30%"
"05/18/2018","394.67","395.37","396.04","393.79","280.10M","-0.28%"
"05/17/2018","395.79","393.06","395.79","392.93","232.42M","0.66%"
"05/16/2018","393.21","392.76","393.61","391.82","267.73M","0.21%"
"05/15/2018","392.37","391.80","393.39","391.14","246.21M","0.05%"
"05/14/2018","392.19","392.25","392.49","390.78","190.44M","-0.05%"
"05/11/2018","392.40","391.96","392.56","391.54","201.49M","0.11%"
"05/10/2018","391.97","391.93","392.77","390.55","221.67M","-0.12%"
"05/09/2018","392.44","390.29","392.44","390.29","227.88M","0.63%"
"05/08/2018","390.00","389.39","390.00","388.13","254.09M","0.13%"
"05/07/2018","389.51","387.02","389.53","387.02","93.24M","0.64%"
"05/04/2018","387.03","385.01","387.03","384.91","242.47M","0.63%"
"05/03/2018","384.62","386.97","387.06","384.06","216.15M","-0.73%"
"05/02/2018","387.44","385.06","387.85","385.06","240.86M","0.63%"
"05/01/2018","385.03","385.42","385.81","384.88","170.16M","-0.08%"
"04/30/2018","385.32","383.92","385.60","383.77","219.29M","0.18%"
"04/27/2018","384.64","384.09","384.84","383.19","197.95M","0.23%"
"04/26/2018","383.75","380.15","383.80","379.46","224.78M","0.94%"
"04/25/2018","380.17","382.21","382.21","378.17","241.48M","-0.77%"
"04/24/2018","383.11","383.23","384.34","381.52","235.88M","-0.02%"
"04/23/2018","383.18","381.87","383.31","380.58","224.69M","0.35%"
"04/20/2018","381.84","380.89","382.55","380.51","231.74M","-0.03%"
