Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;BAU006__Gebaeude/Gebaeudeteile__Anzahl;FLC002__Nutzflaeche__1000_qm;FLC001__Wohnflaeche__1000_qm;WOHN01__Wohnungen__Anzahl
31141;Statistik des Bauabgangs;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBBETRNLW01;  Nichtlandwirtschaftliche Betriebsgebäude;4276;3072;117;1315
31141;Statistik des Bauabgangs;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBFABRIK01;  Fabrik- und Werkstattgebäude;1297;1495;30;315
31141;Statistik des Bauabgangs;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBHANDEL01;  Handelsgebäude;718;496;41;504
31141;Statistik des Bauabgangs;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBLAGER01;  Warenlagergebäude;1121;596;15;151
31141;Statistik des Bauabgangs;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;HOTELSGAST;  Hotels und Gaststätten;507;238;26;297
31141;Statistik des Bauabgangs;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBNWOHNSONST01;  Sonstige Nichtwohngebäude;1077;641;27;318
31141;Statistik des Bauabgangs;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;;Insgesamt;14814;6035;1437;17954
31141;Statistik des Bauabgangs;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBW01;  Wohngebäude mit 1 Wohnung;x;x;x;x
31141;Statistik des Bauabgangs;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBW02;  Wohngebäude mit 2 Wohnungen;x;x;x;x
31141;Statistik des Bauabgangs;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;GEBW03UM;  Wohngebäude mit 3 oder mehr Wohnungen;x;x;x;x
31141;Statistik des Bauabgangs;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;WOHNHEIM;  Wohnheime;66;17;57;1701
31141;Statistik des Bauabgangs;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;BAUGB4;Gebäudeart;WOHNGEBMETW;  Wohngebäude mit Eigentumswohnungen;-;-;-;-
